Ticker,Year,Trimestre,Tri_Performance,CAC40_Tri_Performance,Quarterly_Beta,abs_Beta,Date
ERF.PA,2023,3,-2.7472565980538626,-0.8392141651334131,1.11,1.11,2023-T3
GLE.PA,2020,1,-51.51477100037195,-27.23462522241993,1.59,1.59,2020-T1
GLE.PA,2020,2,6.58217292424738,17.321330834540717,2.01,2.01,2020-T2
GLE.PA,2020,3,-22.96488197631536,-2.5066268610684657,1.45,1.45,2020-T3
GLE.PA,2020,4,54.073124926842965,15.078028194161847,2.02,2.02,2020-T4
GLE.PA,2021,1,33.60675956512176,8.557406438299557,1.81,1.81,2021-T1
GLE.PA,2021,2,9.611994161562182,6.633995958992106,1.27,1.27,2021-T2
GLE.PA,2021,3,5.817116293788679,-0.5158832482517985,1.57,1.57,2021-T3
GLE.PA,2021,4,12.036353669990756,9.747929856462608,1.12,1.12,2021-T4
GLE.PA,2022,1,-19.684783629130507,-7.722503693457224,1.8,1.8,2022-T1
GLE.PA,2022,2,-14.385247064578682,-11.391604947073542,1.13,1.13,2022-T2
GLE.PA,2022,3,-1.874546425992674,-2.844689029902581,1.3,1.3,2022-T3
GLE.PA,2022,4,13.102116008507364,11.729241989516805,0.85,0.85,2022-T4
GLE.PA,2023,1,-14.058299332684271,11.03666094833144,1.74,1.74,2023-T1
GLE.PA,2023,2,11.737089622285858,0.7364605571488261,1.25,1.25,2023-T2
GLE.PA,2023,3,9.102246810760017,-0.8392141651334131,0.73,0.73,2023-T3
HO.PA,2020,1,-17.81795217665126,-27.23462522241993,0.86,0.86,2020-T1
HO.PA,2020,2,-2.0708504643900096,17.321330834540717,1.24,1.24,2020-T2
HO.PA,2020,3,-9.147548616861696,-2.5066268610684657,1.44,1.44,2020-T3
HO.PA,2020,4,16.232151905927815,15.078028194161847,1.52,1.52,2020-T4
HO.PA,2021,1,12.689546258049909,8.557406438299557,0.94,0.94,2021-T1
HO.PA,2021,2,-1.4207125127316833,6.633995958992106,0.83,0.83,2021-T2
HO.PA,2021,3,-2.929634804542297,-0.5158832482517985,0.74,0.74,2021-T3
HO.PA,2021,4,-11.99999640969669,9.747929856462608,0.73,0.73,2021-T4
HO.PA,2022,1,50.44890435988583,-7.722503693457224,-0.42,0.42,2022-T1
HO.PA,2022,2,3.952046747726613,-11.391604947073542,0.35,0.35,2022-T2
HO.PA,2022,3,-5.950895909342855,-2.844689029902581,0.72,0.72,2022-T3
HO.PA,2022,4,4.557409857298224,11.729241989516805,0.03,0.03,2022-T4
HO.PA,2023,1,13.62500508626302,11.03666094833144,0.4,0.4,2023-T1
HO.PA,2023,2,0.5496518994313263,0.7364605571488261,0.8,0.8,2023-T2
HO.PA,2023,3,-1.539582799629941,-0.8392141651334131,0.62,0.62,2023-T3
KER.PA,2020,1,-20.418061221323683,-27.23462522241993,1.14,1.14,2020-T1
KER.PA,2020,2,6.428571428571428,17.321330834540717,0.98,0.98,2020-T2
KER.PA,2020,3,18.004152928469335,-2.5066268610684657,0.97,0.97,2020-T3
KER.PA,2020,4,2.025411830176847,15.078028194161847,0.89,0.89,2020-T4
KER.PA,2021,1,1.3604207358083806,8.557406438299557,1.45,1.45,2021-T1
KER.PA,2021,2,22.95628461484415,6.633995958992106,1.03,1.03,2021-T2
KER.PA,2021,3,-16.66666804282006,-0.5158832482517985,1.6,1.6,2021-T3
KER.PA,2021,4,12.689309448442806,9.747929856462608,1.42,1.42,2021-T4
KER.PA,2022,1,-18.686438953809144,-7.722503693457224,1.19,1.19,2022-T1
KER.PA,2022,2,-14.809661654314818,-11.391604947073542,1.23,1.23,2022-T2
KER.PA,2022,3,-5.890202607907902,-2.844689029902581,1.16,1.16,2022-T3
KER.PA,2022,4,4.551453993541922,11.729241989516805,1.69,1.69,2022-T4
KER.PA,2023,1,24.069477342307703,11.03666094833144,1.47,1.47,2023-T1
KER.PA,2023,2,-14.839145071938107,0.7364605571488261,1.25,1.25,2023-T2
KER.PA,2023,3,-1.9047631157769096,-0.8392141651334131,1.29,1.29,2023-T3
LR.PA,2020,1,-20.47865268670567,-27.23462522241993,0.92,0.92,2020-T1
LR.PA,2020,2,19.13320075086901,17.321330834540717,0.96,0.96,2020-T2
LR.PA,2020,3,0.6198319889378286,-2.5066268610684657,0.99,0.99,2020-T3
LR.PA,2020,4,5.858470082893328,15.078028194161847,0.64,0.64,2020-T4
LR.PA,2021,1,4.976180859871969,8.557406438299557,0.86,0.86,2021-T1
LR.PA,2021,2,11.798604998018115,6.633995958992106,0.59,0.59,2021-T2
LR.PA,2021,3,3.31922855586046,-0.5158832482517985,0.65,0.65,2021-T3
LR.PA,2021,4,12.928005294357556,9.747929856462608,0.64,0.64,2021-T4
LR.PA,2022,1,-16.3794823799397,-7.722503693457224,0.8,0.8,2022-T1
LR.PA,2022,2,-19.141611684653327,-11.391604947073542,0.96,0.96,2022-T2
LR.PA,2022,3,-4.934396675620941,-2.844689029902581,1.08,1.08,2022-T3
LR.PA,2022,4,10.288920598061791,11.729241989516805,1.22,1.22,2022-T4
LR.PA,2023,1,11.778782859036948,11.03666094833144,1.05,1.05,2023-T1
LR.PA,2023,2,8.327372205138055,0.7364605571488261,0.81,0.81,2023-T2
LR.PA,2023,3,0.6237442261169696,-0.8392141651334131,0.54,0.54,2023-T3
MC.PA,2020,1,-19.253246538131467,-27.23462522241993,0.96,0.96,2020-T1
MC.PA,2020,2,20.28338436516715,17.321330834540717,0.95,0.95,2020-T2
MC.PA,2020,3,1.9918252480585763,-2.5066268610684657,1.01,1.01,2020-T3
MC.PA,2020,4,24.70099552701852,15.078028194161847,1.03,1.03,2020-T4
MC.PA,2021,1,10.935364708019288,8.557406438299557,1.38,1.38,2021-T1
MC.PA,2021,2,15.672550931045008,6.633995958992106,1.33,1.33,2021-T2
MC.PA,2021,3,-6.597386235492545,-0.5158832482517985,1.65,1.65,2021-T3
MC.PA,2021,4,15.396825396825395,9.747929856462608,1.27,1.27,2021-T4
MC.PA,2022,1,-11.162787357857388,-7.722503693457224,1.35,1.35,2022-T1
MC.PA,2022,2,-10.452580962254602,-11.391604947073542,1.26,1.26,2022-T2
MC.PA,2022,3,5.241383519665948,-2.844689029902581,1.13,1.13,2022-T3
MC.PA,2022,4,11.825661910207648,11.729241989516805,1.43,1.43,2022-T4
MC.PA,2023,1,21.65394815080441,11.03666094833144,1.29,1.29,2023-T1
MC.PA,2023,2,2.2390741571746786,0.7364605571488261,1.43,1.43,2023-T2
MC.PA,2023,3,-6.597265505135335,-0.8392141651334131,1.65,1.65,2023-T3
ML.PA,2020,1,-25.255878432823124,-27.23462522241993,0.93,0.93,2020-T1
ML.PA,2020,2,15.6563133433759,17.321330834540717,1.17,1.17,2020-T2
ML.PA,2020,3,1.482633334816217,-2.5066268610684657,0.96,0.96,2020-T3
ML.PA,2020,4,14.72452240600804,15.078028194161847,0.84,0.84,2020-T4
ML.PA,2021,1,19.578455761947453,8.557406438299557,0.51,0.51,2021-T1
ML.PA,2021,2,3.981440783514893,6.633995958992106,0.78,0.78,2021-T2
ML.PA,2021,3,-1.153705233599727,-0.5158832482517985,0.84,0.84,2021-T3
ML.PA,2021,4,8.546679656553161,9.747929856462608,1.17,1.17,2021-T4
ML.PA,2022,1,-16.160925969742127,-7.722503693457224,1.03,1.03,2022-T1
ML.PA,2022,2,-15.80226884836022,-11.391604947073542,0.84,0.84,2022-T2
ML.PA,2022,3,-11.520823006720471,-2.844689029902581,1.28,1.28,2022-T3
ML.PA,2022,4,11.451855093864213,11.729241989516805,1.09,1.09,2022-T4
ML.PA,2023,1,4.569940555070677,11.03666094833144,1.07,1.07,2023-T1
ML.PA,2023,2,-4.144527436295028,0.7364605571488261,1.06,1.06,2023-T2
ML.PA,2023,3,5.717444493412154,-0.8392141651334131,0.74,0.74,2023-T3
MT.AS,2020,1,-45.28742707825395,-27.23462522241993,1.68,1.68,2020-T1
MT.AS,2020,2,16.61481099563363,17.321330834540717,1.99,1.99,2020-T2
MT.AS,2020,3,22.09351551607801,-2.5066268610684657,1.82,1.82,2020-T3
MT.AS,2020,4,62.59040995592583,15.078028194161847,0.92,0.92,2020-T4
MT.AS,2021,1,24.936584578631155,8.557406438299557,2.01,2.01,2021-T1
MT.AS,2021,2,6.225606550212453,6.633995958992106,1.44,1.44,2021-T2
MT.AS,2021,3,0.6466267136754208,-0.5158832482517985,1.7,1.7,2021-T3
MT.AS,2021,4,11.686506371679569,9.747929856462608,1.35,1.35,2021-T4
MT.AS,2022,1,2.4117392939143514,-7.722503693457224,1.1,1.1,2022-T1
MT.AS,2022,2,-27.78243968750348,-11.391604947073542,1.51,1.51,2022-T2
MT.AS,2022,3,-4.439302124729046,-2.844689029902581,1.34,1.34,2022-T3
MT.AS,2022,4,14.782816151724107,11.729241989516805,1.06,1.06,2022-T4
MT.AS,2023,1,9.984217329955806,11.03666094833144,1.53,1.53,2023-T1
MT.AS,2023,2,-6.977608153431683,0.7364605571488261,1.22,1.22,2023-T2
MT.AS,2023,3,-2.7086250451100686,-0.8392141651334131,0.96,0.96,2023-T3
OR.PA,2020,1,-9.576085216347902,-27.23462522241993,0.75,0.75,2020-T1
OR.PA,2020,2,22.4603551092318,17.321330834540717,0.56,0.56,2020-T2
OR.PA,2020,3,-3.1740515228664683,-2.5066268610684657,0.72,0.72,2020-T3
OR.PA,2020,4,9.93985651665232,15.078028194161847,0.72,0.72,2020-T4
OR.PA,2021,1,4.844393645999633,8.557406438299557,0.51,0.51,2021-T1
OR.PA,2021,2,16.041371224445122,6.633995958992106,0.83,0.83,2021-T2
OR.PA,2021,3,-4.928733102217665,-0.5158832482517985,0.85,0.85,2021-T3
OR.PA,2021,4,15.322922496068712,9.747929856462608,0.97,0.97,2021-T4
OR.PA,2022,1,-14.589200445184126,-7.722503693457224,0.98,0.98,2022-T1
OR.PA,2022,2,-10.443302458320725,-11.391604947073542,1.16,1.16,2022-T2
OR.PA,2022,3,0.2580467878766093,-2.844689029902581,0.77,0.77,2022-T3
OR.PA,2022,4,2.1120274376089765,11.729241989516805,1.26,1.26,2022-T4
OR.PA,2023,1,21.996438016591025,11.03666094833144,0.88,0.88,2023-T1
OR.PA,2023,2,2.8041866781024027,0.7364605571488261,1.06,1.06,2023-T2
OR.PA,2023,3,-4.332422645448633,-0.8392141651334131,0.96,0.96,2023-T3
ORA.PA,2020,1,-15.483870454040895,-27.23462522241993,0.63,0.63,2020-T1
ORA.PA,2020,2,-2.1149383194145117,17.321330834540717,0.73,0.73,2020-T2
ORA.PA,2020,3,-16.188683916895023,-2.5066268610684657,0.89,0.89,2020-T3
ORA.PA,2020,4,12.091204386111146,15.078028194161847,0.49,0.49,2020-T4
ORA.PA,2021,1,5.577892621253941,8.557406438299557,0.48,0.48,2021-T1
ORA.PA,2021,2,-8.148649286375049,6.633995958992106,0.43,0.43,2021-T2
ORA.PA,2021,3,-3.228469942777565,-0.5158832482517985,0.31,0.31,2021-T3
ORA.PA,2021,4,1.4331937248639242,9.747929856462608,0.39,0.39,2021-T4
ORA.PA,2022,1,13.58235054818059,-7.722503693457224,0.18,0.18,2022-T1
ORA.PA,2022,2,4.100950028810202,-11.391604947073542,0.01,0.01,2022-T2
ORA.PA,2022,3,-18.014181171238906,-2.844689029902581,0.09,0.09,2022-T3
ORA.PA,2022,4,-1.4755832042363388,11.729241989516805,0.26,0.26,2022-T4
ORA.PA,2023,1,16.585050053688594,11.03666094833144,0.21,0.21,2023-T1
